The 'absorption cross section' of Ozone at the relevant wavelength has been updated,,,,,,,,,,,,,,,,
by the BIPM (the international bureau of weights and measures) and reflected within,,,,,,,,,,,,,,,,
the updated CEN reference method EN14625:2024. This results in an increase of ~1.24%,,,,,,,,,,,,,,,,
and will dramatically improve measurement uncertainty - this change has been applied,,,,,,,,,,,,,,,,
to all data from 1 January 2025.,,,,,,,,,,,,,,,,
Please refer to the UK-AIR data page ( https://uk-air.defra.gov.uk/data/ ) for further details:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Daily Mean data	    supplied by UK-air on 31/12/2025",,,,,,,,,,,,,,,,
All Data GMT hour ending,,,,,,,,,,,,,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,,,,,,,,,,,,,
,Sheffield Barnsley Road,,,,Sheffield Devonshire Green,,,,,,Sheffield Tinsley,,,,,
Latitude,53.40495,,,,53.378622,,,,,,53.41058,,,,,
Longitude,-1.455815,,,,-1.478096,,,,,,-1.396139,,,,,
Site Type,Urban Traffic,,,,Urban Background,,,,,,Urban Background,,,,,
Zone,Yorkshire & Humberside,,,,Yorkshire & Humberside,,,,,,Yorkshire & Humberside,,,,,
Agglomeration,Sheffield Urban Area,,,,Sheffield Urban Area,,,,,,Sheffield Urban Area,,,,,
Local Authority,Sheffield,,,,Sheffield,,,,,,Sheffield,,,,,
Date,Nitrogen dioxide,Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,PM2.5 particulate matter (Hourly measured),Status
16/03/2022,45,V ugm-3,17,V ugm-3 (BAM),38,V ugm-3,26,V ugm-3,18,V ugm-3 (Ref.eq),,,34,V ugm-3,,
17/03/2022,34,V ugm-3,7,V ugm-3 (BAM),61,V ugm-3,13,V ugm-3,5,V ugm-3 (Ref.eq),,,29,V ugm-3,,
18/03/2022,50,V ugm-3,15,V ugm-3 (BAM),34,V ugm-3,32,V ugm-3,12,V ugm-3 (Ref.eq),,,32,V ugm-3,,
19/03/2022,40,V ugm-3,16,V ugm-3 (BAM),45,V ugm-3,27,V ugm-3,14,V ugm-3 (Ref.eq),,,20,V ugm-3,,
20/03/2022,41,V ugm-3,26,V ugm-3 (BAM),53,V ugm-3,24,V ugm-3,26,V ugm-3 (Ref.eq),,,25,V ugm-3,,
21/03/2022,58,V ugm-3,40,V ugm-3 (BAM),32,V ugm-3,43,V ugm-3,38,V ugm-3 (Ref.eq),,,48,V ugm-3,,
22/03/2022,No data,V ugm-3,50,V ugm-3 (BAM),26,V ugm-3,48,V ugm-3,45,V ugm-3 (Ref.eq),,,44,V ugm-3,,
23/03/2022,No data,V ugm-3,56,V ugm-3 (BAM),23,V ugm-3,51,V ugm-3,54,V ugm-3 (Ref.eq),,,55,V ugm-3,,
24/03/2022,76,V ugm-3,38,V ugm-3 (BAM),28,V ugm-3,58,V ugm-3,37,V ugm-3 (Ref.eq),,,58,V ugm-3,,
25/03/2022,71,V ugm-3,35,V ugm-3 (BAM),44,V ugm-3,49,V ugm-3,27,V ugm-3 (Ref.eq),,,61,V ugm-3,,
26/03/2022,50,V ugm-3,30,V ugm-3 (BAM),46,V ugm-3,36,V ugm-3,26,V ugm-3 (Ref.eq),,,35,V ugm-3,,
27/03/2022,39,V ugm-3,16,V ugm-3 (BAM),38,V ugm-3,22,V ugm-3,15,V ugm-3 (Ref.eq),,,23,V ugm-3,,
28/03/2022,39,V ugm-3,22,V ugm-3 (BAM),41,V ugm-3,26,V ugm-3,19,V ugm-3 (Ref.eq),,,27,V ugm-3,,
29/03/2022,39,V ugm-3,35,V ugm-3 (BAM),32,V ugm-3,28,V ugm-3,31,V ugm-3 (Ref.eq),,,26,V ugm-3,,
30/03/2022,No data,V ugm-3,11,V ugm-3 (BAM),No data,V ugm-3,No data,V ugm-3,No data,V ugm-3 (Ref.eq),,,15,V ugm-3,,
31/03/2022,No data,V ugm-3,5,V ugm-3 (BAM),No data,V ugm-3,No data,V ugm-3,No data,V ugm-3 (Ref.eq),,,9,V ugm-3,,
01/04/2022,36,V ugm-3,6,V ugm-3 (BAM),61,V ugm-3,24,V ugm-3,No data,V ugm-3 (Ref.eq),,,23,V ugm-3,,
02/04/2022,37,V ugm-3,10,V ugm-3 (BAM),43,V ugm-3,32,V ugm-3,No data,V ugm-3 (Ref.eq),,,34,V ugm-3,,
03/04/2022,No data,V ugm-3,8,V ugm-3 (BAM),60,V ugm-3,18,V ugm-3,7,V ugm-3 (Ref.eq),,,26,V ugm-3,,
04/04/2022,No data,V ugm-3,3,V ugm-3 (BAM),59,V ugm-3,7,V ugm-3,2,V ugm-3 (Ref.eq),,,15,V ugm-3,,
05/04/2022,No data,V ugm-3,5,V ugm-3 (BAM),71,V ugm-3,7,V ugm-3,3,V ugm-3 (Ref.eq),,,17,V ugm-3,,
06/04/2022,17,V ugm-3,4,V ugm-3 (BAM),71,V ugm-3,5,V ugm-3,2,V ugm-3 (Ref.eq),,,18,V ugm-3,,
07/04/2022,22,V ugm-3,4,V ugm-3 (BAM),70,V ugm-3,8,V ugm-3,3,V ugm-3 (Ref.eq),,,16,V ugm-3,,
08/04/2022,40,V ugm-3,7,V ugm-3 (BAM),67,V ugm-3,15,V ugm-3,3,V ugm-3 (Ref.eq),,,27,V ugm-3,,
